|250Mhz @(ssg, 0.81v, -40c)|,,,,,,
Insruction\Power Break(mW),fd_input_sram,fd_regs,cm_cims,cm_regs,gd_output_sram,gd_regs,top_ctrl_regs,Total
Lin,29.3,1.3,0.1739,0.8141,0.226,1.664,0.722,34.2
Linp,0.507,1.243,0.1739,0.8141,0.226,1.664,0.722,5.35
Lwt,0.225,2.935,6.63,0.82,0.226,1.664,0.7,13.2
Lwtp,0.225,1.815,0.1739,0.8221,0.226,1.664,0.734,5.66
Cmpfis_aor,25.2,1.6,14.1,0.9,0.268,1.732,0.6,44.4
Cmpfis_tos,25.2,1.6,14.1,0.9,15.3,1.8,0.6,59.5
Cmpfis_aos,25.2,1.6,14.1,0.9,15.3,1.8,0.6,59.5
Cmpfis_ptos,0.507,1.593,14.1,0.8,0.268,1.742,0.59,19.6
Cmpfis_paos,0.507,1.593,14.1,0.8,0.273,1.747,0.68,19.7
Cmpfgt_aor,0.225,2.025,14.1,0.8,0.273,1.697,0.68,19.8
Cmpfgt_tos,0.225,2.025,14.1,0.8,15.1,1.7,0.75,34.7
Cmpfgt_aos,0.225,2.025,14.1,0.8,15.1,1.7,0.75,34.7
Cmpfgt_ptos,0.225,1.865,14.1,0.8,0.982,2.358,0.87,21.2
Cmpfgt_paos,0.225,1.865,14.1,0.8,0.984,2.366,0.86,21.2
Cmpfgtp,0.828,1.312,14.1,0.8,0.226,1.684,0.65,19.6
Lpenalty,0.225,1.865,0.1739,0.8131,0.938,2.332,0.913,7.26
Nop,0.225,1.585,0.1739,0.8131,0.226,1.684,0.643,5.35
Nop_w_rd,0.225,1.585,0.1739,0.8131,13.8,2.1,0.603,19.3
